# CET-4000 词库第2部分 (约F-J开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
compliment 赞美；问候
duty 义务；职责
dwarf 矮子
dwell 居住
dwindle 减少
dye 染料
dynamic 动态的
each 每个
eager 渴望的
eagle 鹰
ear 耳朵
earl 伯爵
early 早的
earn 赚得
earnest 认真的
earring 耳环
earth 地球；泥土
earthquake 地震
ease 舒适；减轻
east 东方的
eastern 东方的
easy 容易的
eat 吃
ebb 退潮
echo 回声
eclipse 日食
ecology 生态学
economic 经济的
economical 节约的
economy 经济
edge 边缘
edible 可食用的
edit 编辑
edition 版本
editor 编辑
editorial 社论
educate 教育
education 教育
eerie 怪异的
effect 效果；影响
effective 有效的
efficiency 效率
efficient 高效的
effluent 废水
effort 努力
egg 鸡蛋
ego 自我
eight 八
either 任何一个
elated 兴高采烈的
elbow 肘
elder 年长的
elderly 年长的
elect 选举
election 选举
electric 电的
electrical 电的
electricity 电
electronic 电子的
elegance 优雅
elegant 优雅的
element 元素；要素
elephant 大象
elevate 举起
elevator 电梯
eleven 十一
eliminate 消除
else 其他
elsewhere 在别处
embargo 禁运
embark 从事
embarrass 使尴尬
embassy 大使馆
embrace 拥抱
emerge 出现
emergency 紧急情况
emotion 情感
emotional 情感的
emperor 皇帝
emphasis 强调
emphasize 强调
empire 帝国
employ 雇用
employee 雇员
employer 雇主
employment 雇用
empty 空的
enable 使能够
enclose 围住
encounter 遇到
encourage 鼓励
end 结束；末端
ending 结局
endure 忍受
enemy 敌人
energetic 精力充沛的
energy 能量；精力
enforce 实施
engage 从事；吸引
engine 发动机
engineer 工程师
engineering 工程学
england 英国
english 英语的
enhance 提高
enjoy 享受
enjoyable 愉快的
enjoyment 享受
enlarge 扩大
enormous 巨大的
enough 足够的
enquire 询问
enrich 使丰富
ensure 确保
enter 进入
enterprise 企业
entertain 招待；娱乐
enthusiasm 热情
enthusiastic 热情的
entire 完全的
entitle 给权利
entrance 入口
entry 进入；条目
envelope 信封
environment 环境
envy 嫉妒
equal 平等的
equality 平等
equipment 设备
era 时代
error 错误
escape 逃跑
especially 特别
essay 文章
essential 必要的
establish 建立
estate 房地产
estimate 估计
europe 欧洲
european 欧洲的
eve 前夕
even 甚至；平坦的
evening 晚上
event 事件
eventually 最终
ever 曾经
every 每个的
everybody 每个人
everyday 每天的
everyone 每人
everything 一切
everywhere 到处
evidence 证据
evident 明显的
evil 邪恶的
evolution 演化
evolve 进化
exact 准确的
exactly 确切地
examine 检查
example 例子
excellent 优秀的
except 除……之外
exception 例外
excess 过量
excessive 过多的
exchange 交换
excite 使兴奋
excited 兴奋的
exciting 令人兴奋的
exclude 排除
excuse 原谅；借口
execute 执行
executive 行政的
exercise 锻炼
exhaust 耗尽；排气
exhibit 展览
exhibition 展览会
exist 存在
existence 存在
exit 出口
expand 扩大
expect 期待
expectation 期待
expense 花费
expensive 昂贵的
experience 经验；经历
experiment 实验
expert 专家
explain 解释
explanation 解释
explode 爆炸
exploit 开发；剥削
explore 探索
explosion 爆炸
export 出口
expose 暴露
express 表达
expression 表达
extend 延伸
extension 延伸
extensive 广阔的
extent 程度
external 外部的
extra 额外的
extraordinary 非凡的
extreme 极端的
eye 眼睛
eyesight 视力
fable 寓言
face 脸；面对
facility 设施
fact 事实
factor 因素
factory 工厂
fade 褪色
fail 失败
failure 失败
faint 微弱的；晕倒
fair 公平的；集市
fairly 相当；公平地
fairy 仙女
faith 信仰
faithful 忠实的
fake 假的
fall 落下；秋天
false 错误的
fame 名声
familiar 熟悉的
family 家庭
famous 著名的
fan 扇子；粉丝
fancy 想象；精美的
fantastic 极好的
fantasy 幻想
far 远的
fare 车费
farm 农场
farmer 农民
fashion 时尚
fashionable 时髦的
fast 快的
fasten 系紧
fat 肥胖的
fate 命运
father 父亲
fault 错误
favor 好意；赞成
favorite 最喜爱的
fear 害怕
feast 盛宴
feather 羽毛
feature 特征
february 二月
fee 费
feed 喂养
feedback 反馈
feel 感觉
feeling 感觉
fellow 同伴
female 女性的
fence 栅栏
festival 节日
fetch 取来
fever 发烧
few 少数的
field 田野；领域
fierce 凶猛的
fifteen 十五
fifty 五十
fight 战斗
figure 数字；身材
file 文件
fill 装满
film 电影；胶片
final 最后的
finance 财政
financial 财政的
find 找到
fine 好的；罚款
finger 手指
finish 完成
fire 火；解雇
fireman 消防员
firm 公司；坚固的
first 第一的
fish 鱼
fisherman 渔夫
fit 适合
fitness 健康
five 五
fix 修理
flag 旗帜
flame 火焰
flash 闪光
flashlight 手电筒
flat 平的；公寓
flavor 味道
flee 逃跑
fleet 舰队
flesh 肉
flexible 灵活的
flight 飞行
float 漂浮
flood 洪水
floor 地板
flour 面粉
flow 流动
flower 花
flu 流感
fluent 流利的
fluid 液体
fly 飞
focus 集中
fog 雾
fold 折叠
folk 民间的
follow 跟随
following 接着的
fond 喜爱的
food 食物
fool 傻瓜
foolish 愚蠢的
foot 脚
football 足球
for 为了
forbid 禁止
force 力量；强迫
forecast 预测
forehead 前额
foreign 外国的
foresee 预见
forest 森林
forever 永远
forget 忘记
forgive 原谅
fork 叉
form 形式
formal 正式的
former 前者的
formula 公式
forth 向前
fortnight 两周
fortunate 幸运的
fortunately 幸运地
fortune 财富；运气
forty 四十
forward 向前
fossil 化石
found 建立
foundation 基础
fountain 喷泉
four 四
fox 狐狸
fragile 易碎的
frame 框架
frank 坦白的
fraud 欺诈
free 自由的
freedom 自由
freeze 结冰
frequent 频繁的
fresh 新鲜的
fridge 冰箱
friend 朋友
friendly 友好的
friendship 友谊
frighten 使惊吓
from 从
front 前面
frost 霜
frown 皱眉
fruit 水果
fry 油炸
fuel 燃料
full 满的
fun 乐趣
function 功能
fund 基金
fundamental 基本的
funeral 葬礼
funny 有趣的
fur 毛皮
furniture 家具
further 进一步的
furthermore 此外
future 未来
gain 获得
gallery 画廊
game 游戏
gang 帮派
gap 间隙
garage 车库
garbage 垃圾
garden 花园
garlic 大蒜
gas 气体
gasoline 汽油
gate 大门
gather 聚集
gay 快乐的；同性恋的
gaze 凝视
gear 齿轮
gender 性别
gene 基因
general 一般的
generally 通常
generate 产生
generation 世代
generous 慷慨的
genius 天才
gentle 温和的
gentleman 绅士
genuine 真正的
geography 地理
germ 细菌
gesture 手势
get 获得
ghost 鬼
giant 巨人
gift 礼物
gifted 有天赋的
giraffe 长颈鹿
girl 女孩
give 给
glad 高兴的
glance 一瞥
glare 怒视
glass 玻璃
glimpse 一瞥
global 全球的
globe 地球
glory 荣耀
glove 手套
glue 胶水
go 去
goal 目标
goat 山羊
god 神
gold 金
golden 金色的
golf 高尔夫
good 好的
goodbye 再见
goods 货物
goose 鹅
govern 统治
government 政府
grace 优雅
grade 等级
gradual 逐渐的
graduate 毕业
grain 谷物
gram 克
grammar 语法
grand 宏大的
grandfather 祖父
grandmother 祖母
grant 授予
grape 葡萄
graph 图表
grasp 抓住
grass 草
grateful 感激的
gravity 重力
gray 灰色的
great 伟大的
greece 希腊
greedy 贪婪的
greek 希腊的
green 绿色的
greet 问候
grey 灰色的
grocery 杂货店
ground 地面
group 群
grow 生长
growth 增长
guarantee 保证
guard 卫兵
guess 猜测
guest 客人
guide 向导
guilt 罪行
guilty 有罪的
guitar 吉他
