# CET-4000 词库第4部分 (约P-Z开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
pulse 脉搏
responsibility 责任
responsible 负责任的
rest 休息
restaurant 饭店
restore 恢复
restrict 限制
result 结果
retail 零售
retain 保留
retire 退休
return 返回
reveal 揭露
revenge 报复
review 复习
revolution 革命
reward 奖赏
rhythm 节奏
rib 肋骨
ribbon 丝带
rice 米饭
rich 富有的
rid 摆脱
ride 骑
ridge 山脊
ridiculous 可笑的
rifle 步枪
right 右边；正确的
ring 环
rise 上升
risk 风险
rival 对手
river 河流
road 道路
roast 烤
rob 抢劫
robot 机器人
rock 岩石
rocket 火箭
role 角色
roll 滚动
roman 罗马的
romance 浪漫
romantic 浪漫的
roof 屋顶
room 房间
root 根
rope 绳子
rose 玫瑰
rough 粗糙的
round 圆的
route 路线
routine 例行公事
row 排
royal 皇家的
rubber 橡胶
rubbish 垃圾
rude 粗鲁的
rug 小地毯
ruin 毁灭
rule 规则
ruler 统治者
run 跑
runner 跑步者
rural 农村的
rush 冲
sacred 神圣的
sad 悲伤的
safe 安全的
safety 安全
sail 航行
sailor 水手
salad 沙拉
salary 薪水
sale 出售
salesman 售货员
salt 盐
same 相同的
sample 样品
sand 沙
sandwich 三明治
satellite 卫星
satisfaction 满意
satisfy 满足
saturday 星期六
sauce 酱汁
saucer 茶碟
sausage 香肠
save 拯救
saving 储蓄
say 说
scale 规模
scan 浏览
scar 疤
scarf 围巾
scene 场景
scenery 风景
schedule 时间表
scheme 计划
scholar 学者
scholarship 奖学金
school 学校
science 科学
scientific 科学的
scientist 科学家
scissors 剪刀
scold 责骂
scoop 勺
scope 范围
score 得分
scorn 轻蔑
scout 侦察员
scratch 抓
scream 尖叫
screen 屏幕
screw 螺丝
script 脚本
sea 海
seal 封印
search 搜索
season 季节
seat 座位
second 第二
secondary 次要的
secret 秘密
secretary 秘书
section 部分
secure 安全的
security 安全
see 看见
seed 种子
seek 寻找
seem 似乎
seize 抓住
seldom 很少
select 挑选
self 自己
sell 卖
semester 学期
send 发送
senior 年长的
sense 感觉
sensible 明智的
sensitive 敏感的
sentence 句子
separate 分开
september 九月
series 系列
serious 严肃的
servant 仆人
serve 服务
service 服务
session 会议
set 设置
settle 解决
settlement 解决
seven 七
several 几个
severe 严重的
sew 缝纫
sex 性别
shabby 破旧的
shade 阴影
shadow 影子
shake 摇动
shall 将要
shallow 浅的
shame 羞耻
shampoo 洗发水
shape 形状
share 分享
shark 鲨鱼
sharp 锋利的
shave 刮脸
she 她
sheep 羊
sheet 床单
shelf 架子
shell 壳
shelter 庇护
shine 发光
ship 船
shirt 衬衫
shock 震惊
shoe 鞋
shoot 射击
shop 商店
shore 岸
short 短的
shortcoming 缺点
shortly 不久
shot 射击
should 应该
shoulder 肩膀
shout 喊叫
show 展示
shower 淋浴
shrink 收缩
shut 关
shuttle 航天飞机
shy 害羞的
sick 生病的
side 边
sideways 侧面地
sigh 叹气
sight 视力
sightseeing 观光
sign 标志
signal 信号
signature 签名
significance 意义
significant 重要的
silence 沉默
silent 沉默的
silk 丝绸
silly 傻的
silver 银
similar 相似的
simply 简直
since 自从
sincere 真诚的
sing 唱歌
single 单一的
sink 沉
sir 先生
sister 姐妹
sit 坐
site 地点
situation 情况
six 六
size 尺寸
skate 滑冰
ski 滑雪
skill 技能
skilled 熟练的
skin 皮肤
skirt 裙子
sky 天空
skyscraper 摩天大楼
slave 奴隶
sleep 睡觉
slice 片
slide 滑动
slight 轻微的
slim 苗条的
slip 滑倒
slope 斜坡
slow 慢的
small 小的
smart 聪明的
smell 闻
smile 微笑
smoke 烟
smooth 平滑的
snack 小吃
snake 蛇
snow 雪
so 所以；如此
soak 浸泡
soap 肥皂
soccer 足球
social 社会的
society 社会
sock 短袜
soda 苏打水
sofa 沙发
soft 软的
software 软件
soil 土壤
soldier 士兵
solid 固体
solution 解决办法
solve 解决
some 一些
somebody 某人
somehow 不知怎么地
someone 某人
something 某事
sometimes 有时
somewhere 某处
son 儿子
song 歌曲
soon 很快
sore 疼痛的
sorry 抱歉的
sort 种类
soul 灵魂
sound 声音
soup 汤
sour 酸的
source 来源
south 南方
southern 南方的
space 空间
spade 铲子
span 跨度
spare 抽出
spark 火花
speak 说
special 特殊的
specialist 专家
species 物种
specific 特定的
speech 演讲
speed 速度
spell 拼写
spend 花费
spider 蜘蛛
spirit 精神
spiritual 精神的
spit 吐
split 分裂
spoil 损坏
sponsor 赞助
spoon 勺子
sport 运动
spot 斑点
spread 传播
spring 春天
square 广场
stable 稳定的
staff 工作人员
stage 阶段
stair 楼梯
stall 摊位
stamp 邮票
stand 站立
standard 标准
star 星星
stare 凝视
start 开始
starve 挨饿
state 状态
statement 声明
station 站
statue 雕像
status 地位
stay 停留
steady 稳定的
steak 牛排
steal 偷
steam 蒸汽
steamer 汽船
steel 钢
steep 陡峭的
step 步骤
stick 棍子
sticky 粘的
stiff 僵硬的
still 仍然
sting 刺
stir 搅拌
stock 库存
stocking 长袜
stomach 胃
stone 石头
stop 停止
store 商店
storm 风暴
story 故事
stove 炉子
straight 直的
strait 海峡
strange 奇怪的
stranger 陌生人
strategy 策略
straw 稻草
stream 溪流
street 街道
strength 力量
strengthen 加强
stress 压力
stretch 伸展
strict 严格的
strike 罢工
string 细绳
stripe 条纹
stroke 中风
strong 强壮的
structure 结构
struggle 斗争
student 学生
studio 工作室
study 学习
stuff 东西
stupid 愚蠢的
style 风格
subject 主题；科目
submit 提交
substance 物质
substitute 替代
subtract 减
suburb 郊区
subway 地铁
succeed 成功
success 成功
successful 成功的
such 这样的
suck 吮吸
sudden 突然的
suddenly 突然
suffer 受苦
sufficient 足够的
sugar 糖
suggest 建议
suit 套装
suitable 合适的
suitcase 手提箱
sum 总数
summarize 总结
summary 摘要
summer 夏天
sun 太阳
sunday 星期日
sunlight 阳光
sunny 晴朗的
sunrise 日出
sunset 日落
super 极好的
superior 优越的
supermarket 超市
supper 晚餐
supply 供应
support 支持
suppose 假设
supreme 最高的
sure 确信的
surf 冲浪
surface 表面
surgeon 外科医生
surgery 外科手术
surprise 惊奇
surround 围绕
survey 调查
survive 幸存
suspect 怀疑
suspend 暂停
swallow 吞
swan 天鹅
swap 交换
swear 发誓
sweat 汗水
sweater 毛衣
sweep 扫
sweet 甜的
swell 肿胀
swift 迅速的
swim 游泳
swing 摇摆
switch 开关
sword 剑
symbol 象征
sympathy 同情
symptom 症状
system 系统
table 桌子
tablet 药片
tag 标签
tail 尾巴
tailor 裁缝
take 拿
tale 故事
talent 天赋
talk 谈话
tall 高的
tank 水箱
tap 水龙头
tape 胶带
target 目标
task 任务
taste 品尝
tax 税
taxi 出租车
tea 茶
teach 教
teacher 老师
team 团队
tear 眼泪；撕裂
technical 技术的
technique 技术
technology 技术
teenager 青少年
telegram 电报
telephone 电话
telescope 望远镜
television 电视
tell 告诉
temper 脾气
temperature 温度
temple 寺庙
temporary 暂时的
tempt 诱惑
ten 十
tend 倾向
tendency 趋势
tennis 网球
tense 紧张的
tension 紧张
tent 帐篷
term 学期；术语
terminal 终端
terrible 可怕的
territory 领土
terror 恐怖
test 测试
text 文本
textbook 教科书
than 比
thank 感谢
thanks 感谢
that 那个
the 这
theater 剧院
their 他们的
theirs 他们的
them 他们
theme 主题
themselves 他们自己
then 然后
theory 理论
there 那里
therefore 因此
these 这些
they 他们
thick 厚的
thief 小偷
thin 薄的
thing 事情
think 认为
third 第三
thirsty 口渴的
thirteen 十三
thirty 三十
this 这个
thorough 彻底的
those 那些
though 虽然
thought 想法
thread 线
threat 威胁
threaten 威胁
three 三
throat 喉咙
through 通过
throughout 遍及
throw 扔
thumb 拇指
thunder 雷声
thursday 星期四
thus 因此
ticket 票
tide 潮汐
tidy 整洁的
tie 系
tiger 老虎
tight 紧的
till 直到
time 时间
tiny 微小的
tip 尖端
tired 疲劳的
tissue 纸巾
title 标题
to 到
toast 烤面包
tobacco 烟草
today 今天
toe 脚趾
together 一起
toilet 厕所
tomato 西红柿
tomb 坟墓
tomorrow 明天
ton 吨
tone 语气
tongue 舌头
tonight 今晚
too 也
tool 工具
tooth 牙齿
top 顶部
topic 话题
torch 火把
total 总共
touch 触摸
tough 坚韧的
tour 旅游
tourist 游客
toward 朝
towel 毛巾
tower 塔
town 城镇
toy 玩具
trace 痕迹
track 轨道
trade 贸易
tradition 传统
traditional 传统的
traffic 交通
tragedy 悲剧
train 火车；训练
training 训练
transfer 转移
transform 转变
transit 运输
translate 翻译
translation 翻译
transport 运输
trap 陷阱
travel 旅行
treasure 财宝
treat 对待
treatment 治疗
tree 树
tremble 颤抖
tremendous 巨大的
trend 趋势
trial 审判
triangle 三角形
trick 诡计
trip 旅行
triumph 胜利
troop 军队
trouble 麻烦
trousers 裤子
truck 卡车
true 真实的
truly 真正地
trumpet 喇叭
trust 信任
truth 真相
try 尝试
tube 管子
tuesday 星期二
tune 曲调
tunnel 隧道
turkey 火鸡
turn 转动
twelve 十二
twenty 二十
twice 两次
twin 双胞胎
twist 扭
two 二
type 类型
typewriter 打字机
typhoon 台风
typical 典型的
ugly 丑陋的
umbrella 雨伞
unable 不能的
uncle 叔叔
under 在……下
undergo 经历
underground 地下的
underline 划线
understand 理解
understanding 理解
undertake 承担
unemployment 失业
unexpected 意外的
unfair 不公平的
unfortunate 不幸的
unfortunately 不幸地
unhappy 不快乐的
uniform 制服
union 联盟
unique 独特的
unit 单位
unite 联合
unity 团结
universe 宇宙
university 大学
unknown 未知的
unless 除非
unlike 不同于
unlikely 不太可能
until 直到
unusual 不寻常的
up 向上
upload 上传
upon 在……上
upper 上面的
urban 城市的
urge 催促
urgent 紧急的
us 我们
use 使用
used 习惯的
useful 有用的
useless 无用的
user 用户
usual 通常的
usually 通常
vacation 假期
valid 有效的
valley 山谷
valuable 有价值的
value 价值
van 货车
vanish 消失
variety 多样性
various 各种各样的
vary 变化
vast 广大的
vegetable 蔬菜
vehicle 车辆
venture 冒险
verb 动词
version 版本
very 非常
vest 背心
via 通过
victim 受害者
victory 胜利
video 视频
view 观点
village 村庄
violence 暴力
violent 暴力的
violin 小提琴
virtual 虚拟的
virtue 美德
virus 病毒
visa 签证
visible 可见的
vision 视力
visit 访问
visitor 访客
vital 重要的
vitamin 维生素
vivid 生动的
vocabulary 词汇
voice 声音
volcano 火山
volleyball 排球
volume 卷；体积
volunteer 志愿者
vote 投票
voyage 航行
wage 工资
waist 腰
wait 等待
waiter 服务员
wake 醒来
walk 走
wall 墙
wallet 钱包
wander 漫步
want 想要
war 战争
warm 温暖的
warn 警告
wash 洗
waste 浪费
watch 观看
water 水
waterfall 瀑布
watermelon 西瓜
wave 波浪
way 路
we 我们
weak 弱的
weakness 弱点
wealth 财富
wealthy 富有的
weapon 武器
wear 穿
weather 天气
weave 编织
web 网络
website 网站
wedding 婚礼
wednesday 星期三
weed 杂草
week 周
weekday 工作日
weekend 周末
weekly 每周的
weep 哭泣
weigh 称重
weight 重量
welcome 欢迎
welfare 福利
well 好；井
west 西方
western 西方的
wet 湿的
whale 鲸鱼
what 什么
wheat 小麦
wheel 轮子
when 何时
whenever 每当
where 哪里
wherever 无论哪里
whether 是否
which 哪个
while 当……时
whisper 低语
whistle 吹口哨
white 白色的
who 谁
whoever 无论谁
whole 整个的
whom 谁
whose 谁的
why 为什么
wide 宽的
widely 广泛地
wife 妻子
wild 野生的
wildlife 野生动物
will 将
willing 愿意的
win 赢
wind 风；卷绕
window 窗户
wine 葡萄酒
wing 翅膀
winner 获胜者
winter 冬天
wipe 擦
wire 电线
wisdom 智慧
wise 聪明的
wish 愿望
with 和
withdraw 撤退
within 在……内
without 没有
witness 目击者
wolf 狼
woman 女人
wonder 惊奇
wonderful 极好的
wood 木头
wooden 木制的
woods 森林
wool 羊毛
word 单词
work 工作
worker 工人
workshop 车间
world 世界
worm 虫
worried 担心的
worry 担心
worse 更坏的
worst 最坏的
worth 值得
worthless 无价值的
worthwhile 值得的
worthy 值得的
would 将
wound 伤口
wrap 包
wrist 手腕
write 写
writer 作家
writing 写作
wrong 错误的
xerox 复印
xylophone 木琴
yard 院子
year 年
yearly 每年的
yellow 黄色的
yes 是的
yesterday 昨天
yet 还
you 你
young 年轻的
youngster 年轻人
your 你的
yours 你的
yourself 你自己
youth 青年
zebra 斑马
zero 零
zigzag 之字形
zinc 锌
zone 区域
zoo 动物园
zoom 缩放
