# CET-4000 词库第3部分 (约K-O开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
gulf 海湾
lady 女士
lake 湖
lamb 羊羔
lamp 灯
land 陆地
landlord 房东
landscape 风景
language 语言
lantern 灯笼
lap 大腿
large 大的
last 最后的；持续
late 迟的
later 后来
latter 后者的
laugh 笑
launch 发射
laundry 洗衣店
lavatory 盥洗室
law 法律
lawn 草坪
lawyer 律师
lay 放置
layer 层
lazy 懒惰的
lead 引导
leader 领导
leadership 领导
leaf 叶子
league 联盟
lean 倾斜
learn 学习
learning 学问
least 最少的
leather 皮革
leave 离开
lecture 讲座
left 左边
leg 腿
legal 合法的
leisure 休闲
lemon 柠檬
lend 借出
length 长度
less 较少的
lesson 功课
let 让
letter 信；字母
level 水平
liberal 自由的
library 图书馆
license 执照
lick 舐
lid 盖子
lie 躺；谎言
life 生命
lifestyle 生活方式
lifetime 一生
lift 举起
light 光；轻的
lightning 闪电
like 喜欢
likely 可能的
limit 限制
limited 有限的
line 线；排
link 联系
lion 狮子
lip 嘴唇
liquid 液体
list 名单
listen 听
literature 文学
litre 升
litter 垃圾
little 小的
live 居住；活的
lively 活泼的
living 活的；生计
load 负载
loaf 一条面包
loan 贷款
local 当地的
locate 找出；位于
location 位置
lock 锁
log 原木
logic 逻辑
logical 合乎逻辑的
lonely 孤独的
long 长的；渴望
look 看
loose 松的
lord 贵族
lorry 卡车
lose 失去
loss 损失
lost 迷路的
lot 许多
loud 大声的
loudly 大声地
loudspeaker 扬声器
love 爱
lovely 可爱的
low 低的
loyal 忠诚的
luck 运气
lucky 幸运的
luggage 行李
lunch 午餐
lung 肺
machine 机器
mad 疯的
magazine 杂志
magic 魔术
magical 魔术的
magnet 磁铁
mail 邮件
mailbox 邮箱
main 主要的
mainland 大陆
maintain 维持
major 主要的；专业
majority 大多数
make 制造
male 男性的
mall 购物中心
man 男人
manage 管理
management 管理
manager 经理
mankind 人类
manner 方式；态度
manual 手工的；手册
manufacture 制造
manufacturer 制造商
manuscript 手稿
many 许多的
map 地图
march 三月；行军
margin 边缘
mark 标记
market 市场
marriage 婚姻
married 已婚的
marry 结婚
marvelous 了不起的
mask 面具
mass 大量；质量
master 主人；掌握
mat 席子
match 比赛
mate 伴侣
material 材料
math 数学
mathematics 数学
matter 事情；物质
mature 成熟的
maximum 最大的
may 可以；五月
maybe 也许
mayor 市长
me 我
meal 一餐
mean 意思是；吝啬的
meaning 意思
meaningful 有意义的
means 手段
meantime 同时
meanwhile 同时
measure 测量
measurement 测量
meat 肉
mechanic 技工
mechanical 机械的
mechanism 机制
medal 奖章
media 媒体
medical 医学的
medicine 药
medium 中等的
meet 遇见
meeting 会议
melt 融化
member 成员
membership 会员资格
memorial 纪念的
memorize 记住
memory 记忆
mend 修补
mental 精神的
mention 提及
menu 菜单
merchant 商人
mercy 仁慈
mere 仅仅的
merely 仅仅
merry 快乐的
mess 混乱
message 消息
metal 金属
method 方法
microphone 麦克风
microscope 显微镜
middle 中间
midnight 午夜
might 可能；力量
mild 温和的
mile 英里
military 军事的
milk 牛奶
mill 磨坊
million 百万
mind 头脑；介意
mine 我的；矿
miner 矿工
mineral 矿物
minibus 小型公共汽车
minimum 最小的
minister 部长
ministry 部
minor 较小的
minority 少数
minute 分钟
miracle 奇迹
mirror 镜子
miserable 悲惨的
miss 错过；想念
missing 缺失的
mission 任务
mistake 错误
mistaken 错误的
mister 先生
misunderstand 误解
mix 混合
mixture 混合物
mobile 移动的
mode 方式
model 模型
moderate 中等的
modern 现代的
modest 谦虚的
modify 修改
moist 潮湿的
moment 片刻
monday 星期一
money 钱
monitor 班长；显示器
monkey 猴子
month 月
monthly 每月的
mood 心情
moon 月亮
moral 道德的
more 更多的
morning 早晨
mortgage 抵押
most 最多的
mother 母亲
motion 运动
motivate 激励
motor 马达
mount 登上
mountain 山
mouse 老鼠
mouth 嘴
move 移动
movement 运动
movie 电影
much 许多
mud 泥
multiple 多重的
murder 谋杀
muscle 肌肉
museum 博物馆
music 音乐
musical 音乐的
musician 音乐家
must 必须
mutual 相互的
my 我的
myself 我自己
mysterious 神秘的
mystery 神秘
nail 钉子
name 名字
narrow 窄的
nation 国家
national 国家的
nationality 国籍
native 本地的
natural 自然的
naturally 自然地
nature 自然
naughty 淘气的
navy 海军
near 近的
nearby 附近的
nearly 几乎
neat 整洁的
necessary 必要的
neck 脖子
necklace 项链
need 需要
needle 针
negative 消极的
neglect 忽视
negotiate 谈判
neighbor 邻居
neighborhood 邻里
neither 两者都不
nephew 侄子
nerve 神经
nervous 紧张的
net 网
network 网络
never 从不
new 新的
news 新闻
newspaper 报纸
next 下一个
nice 好的
niece 侄女
night 夜晚
nine 九
ninety 九十
no 不
noble 高贵的
nobody 没有人
nod 点头
noise 噪音
noisy 吵闹的
none 没有一个
nonsense 废话
noodle 面条
noon 中午
nor 也不
normal 正常的
north 北方
northern 北方的
nose 鼻子
not 不
note 笔记；注意到
notebook 笔记本
nothing 没有什么
notice 注意
novel 小说；新颖的
november 十一月
now 现在
nowhere 任何地方都不
nuclear 核的
number 数字
nurse 护士
nut 坚果
obey 服从
object 对象；反对
objective 目标
obligation 义务
observation 观察
observe 观察
obstacle 障碍
obtain 获得
obvious 明显的
obviously 明显地
occasion 场合
occasional 偶尔的
occupation 职业
occupy 占据
occur 发生
ocean 海洋
october 十月
odd 奇怪的
of ……的
off 离开
offend 冒犯
offer 提供
office 办公室
officer 官员
official 官方的
often 经常
oil 油
okay 好的
old 老的
olympic 奥林匹克的
omit 省略
on 在……上
once 一次
one 一
oneself 自己
onion 洋葱
online 在线的
only 只有
onto 到……上
open 打开
opening 开口
opera 歌剧
operate 操作；动手术
operation 手术；操作
opinion 意见
opportunity 机会
oppose 反对
opposite 对面的
optimistic 乐观的
option 选择
or 或者
oral 口头的
orange 橙子
orchestra 管弦乐队
order 顺序；订单
ordinary 普通的
organ 器官
organic 有机的
organization 组织
organize 组织
origin 起源
original 原始的
other 其他的
otherwise 否则
ought 应该
our 我们的
ours 我们的
ourselves 我们自己
out 外面
outcome 结果
outdoor 户外的
outer 外部的
outline 提纲
output 产量
outside 外面
outstanding 杰出的
over 在……上方
overcoat 大衣
overcome 克服
overlook 忽视
overseas 海外的
owe 欠
own 自己的
owner 所有者
ox 牛
oxygen 氧气
pace 步伐
pacific 太平洋的
pack 包；打包
package 包裹
packet 小包
pad 垫子
page 页
pail 桶
pain 痛苦
painful 痛的
paint 绘画
painter 画家
painting 绘画
pair 一对
palace 宫殿
pale 苍白的
palm 手掌
pan 平底锅
panda 熊猫
panel 面板
panic 恐慌
pant 气喘
paper 纸
parade 游行
paradise 天堂
paragraph 段落
parallel 平行的
parcel 包裹
pardon 原谅
parent 父母
park 公园；停车
parliament 议会
part 部分
partial 部分的
participate 参加
particle 粒子
particular 特别的
particularly 特别地
partly 部分地
partner 伙伴
party 聚会；党
pass 经过
passage 通道
passenger 乘客
passion 激情
passive 被动的
passport 护照
past 过去的
paste 粘贴
pat 轻拍
patch 补丁
path 小路
patience 耐心
patient 病人；耐心的
pattern 模式
pause 暂停
pave 铺
pavement 人行道
paw 爪子
pay 支付
payment 付款
pea 豌豆
peace 和平
peaceful 和平的
peach 桃子
peak 山峰
pear 梨
pearl 珍珠
peasant 农民
peculiar 特有的
peel 削皮
peep 偷看
pen 钢笔
pencil 铅笔
penetrate 穿透
pension 养老金
people 人们
pepper 胡椒
per 每
perceive 察觉
percent 百分之
percentage 百分比
perfect 完美的
perform 表演
performance 表现
perhaps 也许
period 时期
permanent 永久的
permission 允许
permit 允许
persist 坚持
person 人
personal 个人的
personality 个性
personnel 人员
perspective 视角
persuade 说服
pessimistic 悲观的
pet 宠物
petrol 汽油
phase 阶段
phenomenon 现象
philosopher 哲学家
philosophy 哲学
phone 电话
photo 照片
photograph 照片
phrase 短语
physical 身体的
physician 医生
physicist 物理学家
physics 物理学
piano 钢琴
pick 挑选
picnic 野餐
picture 图片
pie 馅饼
piece 片
pierce 刺穿
pig 猪
pigeon 鸽子
pile 堆
pill 药丸
pillar 柱子
pillow 枕头
pilot 飞行员
pin 别针
pinch 捏
pine 松树
pink 粉红色
pint 品脱
pioneer 先驱
pipe 管子
pipeline 管道
pistol 手枪
pit 坑
pitch 投掷
pity 遗憾
place 地方
plain 朴素的
plan 计划
plane 飞机
planet 行星
plant 植物
plastic 塑料
plate 盘子
platform 站台
play 玩
player 选手
playground 操场
pleasant 令人愉快的
please 请
pleased 高兴的
pleasure 愉快
plenty 丰富
plot 情节
plug 插头
plus 加
pocket 口袋
poem 诗
poet 诗人
poetry 诗歌
point 点
poison 毒药
poisonous 有毒的
pole 杆
police 警察
policeman 警察
policy 政策
polish 擦亮
polite 礼貌的
political 政治的
politics 政治
pollute 污染
pollution 污染
pond 池塘
pool 水池
poor 贫穷的
pop 流行的
popular 受欢迎的
population 人口
pork 猪肉
port 港口
portable 便携的
porter 搬运工
portion 部分
portrait 肖像
position 位置
positive 积极的
possess 拥有
possession 拥有
possibility 可能性
possible 可能的
possibly 可能地
post 邮寄；岗位
postage 邮费
postal 邮政的
postcard 明信片
poster 海报
postman 邮递员
postpone 推迟
pot 锅
potato 土豆
potential 潜在的
pound 磅；英镑
pour 倒
poverty 贫穷
powder 粉末
power 力量
powerful 强大的
practical 实际的
practice 练习
praise 赞扬
pray 祈祷
precious 珍贵的
precise 精确的
predict 预测
prefer 更喜欢
preference 偏爱
pregnant 怀孕的
prejudice 偏见
preparation 准备
prepare 准备
preposition 介词
presence 出席
present 礼物；目前的
presentation 展示
preserve 保存
president 总统
press 按；新闻
pressure 压力
pretend 假装
pretty 漂亮的
prevent 阻止
previous 以前的
price 价格
pride 骄傲
priest 牧师
primary 主要的
prime 首要的
prince 王子
princess 公主
principal 主要的
principle 原则
print 印刷
prior 优先的
prison 监狱
prisoner 囚犯
private 私人的
prize 奖品
probable 可能的
probably 大概
problem 问题
procedure 程序
process 过程
produce 生产
product 产品
production 生产
profession 职业
professional 专业的
professor 教授
profile 简介
profit 利润
program 程序
progress 进步
prohibit 禁止
project 项目
promise 承诺
promote 促进
prompt 迅速的
pronounce 发音
proof 证据
proper 适当的
property 财产
proposal 提议
propose 提议
prospect 前景
protect 保护
protest 抗议
proud 骄傲的
prove 证明
provide 提供
province 省
psychology 心理学
pub 酒馆
public 公共的
publish 出版
pull 拉
