# CET-4000 词库第1部分 (约A-E开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
abandon 放弃；抛弃
agriculture 农业
ahead 在前；向前
aid 帮助；援助
aim 瞄准；目的
air 空气；空中
aircraft 飞机；飞行器
airline 航线；航空公司
airplane 飞机
airport 机场
airway 航线
alarm 警报；惊慌
album 相册；专辑
alcohol 酒精
alert 警觉的；警报
alien 外国的；外星人
alike 相似的；同样地
alive 活着的；活跃的
all 全部的；一切
allergic 过敏的
allergy 过敏症
alley 小巷；胡同
alliance 联盟；同盟
allocate 分配；分派
allow 允许；准许
allowance 津贴；限额
alloy 合金
almost 几乎；差不多
alone 单独的；独自
along 沿着；向前
aloud 大声地；出声地
alphabet 字母表
alphabetical 字母顺序的
alpine 高山的
already 已经
also 也；同样
alter 改变；更改
alternative 替换物；备选的
although 尽管
altitude 高度；海拔
altogether 完全；总共
aluminum 铝
amass 积聚
amateur 业余的
amaze 使吃惊
amazing 令人惊异的
ambassador 大使
ambiguity 模糊
ambiguous 模棱两可的
ambition 雄心；野心
ambitious 有野心的
ambulance 救护车
amend 修正
amid 在……之中
ammunition 弹药
among 在……之中
amount 总数；等于
ample 充足的；宽敞的
amplify 放大
amuse 逗乐；娱乐
analogy 类比
analysis 分析
analytical 分析的
analyze 分析
anatomy 解剖
ancestor 祖先；祖宗
ancestry 祖先
anchor 锚；抛锚
ancient 古代的；古老的
angel 天使
anger 愤怒；激怒
angle 角度；观点
angry 愤怒的
animal 动物
animate 使有生气
ankle 踝；踝关节
anniversary 周年纪念日
announce 宣布；宣告
annoy 使烦恼；打扰
annoyance 烦恼
annual 每年的；年刊
another 另一个
answer 回答；答案
ant 蚂蚁
antarctic 南极的
antenna 触角
anthem 颂歌
antibiotic 抗生素
anticipate 预料；期望
antique 古董
anxiety 焦虑；渴望
anxious 焦虑的；渴望的
any 任何的；一些
anybody 任何人
anyhow 无论如何
anyone 任何人
anything 任何事物
anyway 无论如何
anywhere 任何地方
apall 使惊骇
apart 分开；分离
apartment 公寓
apologize 道歉
apology 道歉；认错
app 显然；明显地
apparent 表面的；明显的
apparently 显然地
appear 出现；看来
appearance 出现；外貌
appease 平息
appetite 食欲；胃口
applaud 鼓掌
apple 苹果
appliance 器具；器械
applicable 可适用的
applicant 申请人
application 申请；应用
apply 申请；应用
appoint 任命；指定
appointment 任命；约会
apportion 分配
appraisal 评价；估价
appraise 评价
appreciate 欣赏；感激
approach 接近；方法
appropriate 适当的
approval 赞成；批准
approve 赞成；批准
approximate 近似的
approximately 大约；近似地
april 四月
aquarium 水族馆
arbitrary 任意的；武断的
arch 拱
archaeology 考古学
architect 建筑师
architecture 建筑学
arctic 北极的
area 面积；地区
arena 竞技场
argue 争论；主张
argument 争论；论点
arise 出现；升起
arithmetic 算术
arm 手臂；武器
army 军队
aroma 香味
around 在周围；大约
arouse 引起；唤醒
arrange 安排；布置
arrangement 安排；布置
array 排列
arrest 逮捕；阻止
arrival 到达；到来
arrive 到达；到来
arrogant 傲慢的
arrow 箭；箭头
art 艺术；美术
artery 动脉
article 文章；物品
articulate 表达清楚
artificial 人工的；人造的
artist 艺术家
as 作为；如同
ascend 上升
ascertain 查明
ash 灰；灰烬
ashamed 惭愧的；羞耻的
ashore 在岸上
asia 亚洲
asian 亚洲的；亚洲人
aside 在旁边
ask 问；要求
asleep 睡着的
aspect 方面；面貌
asphalt 沥青
assault 袭击
assemble 集合；装配
assembly 集合；装配
assert 断言；宣称
assess 评估；评定
asset 资产；财产
assign 分配；指派
assignment 任务；作业
assimilate 同化
assist 援助；帮助
assistance 帮助；援助
assistant 助手；助理
associate 联系；交往
association 协会；联系
assorted 各式各样的
assume 假定；承担
assumption 假定；假设
assurance 保证
assure 保证；使确信
asterisk 星号
asthma 哮喘
astonish 使惊讶
astronaut 宇航员
astronomer 天文学家
astronomy 天文学
asylum 庇护
at 在；于
athlete 运动员
atlas 地图册
atmosphere 大气；气氛
atom 原子
atrocity 暴行
attach 附上；系上
attack 攻击；进攻
attain 达到；获得
attempt 尝试；企图
attend 出席；照料
attention 注意；专心
attentive 注意的；留心的
attic 阁楼
attire 服装
attitude 态度；看法
attorney 律师；代理人
attract 吸引；引起
attraction 吸引；吸引力
attractive 有吸引力的
attribute 归因于；属性
auction 拍卖
auctioneer 拍卖人
audible 听得见的
audience 观众；听众
audio 音频
audit 审计
auditorium 礼堂
augment 增加
august 八月
aunt 姨母；姑母
aurora 极光
australia 澳大利亚
australian 澳大利亚的
author 作者；作家
authority 权力；当局
autobiography 自传
automatic 自动的
automobile 汽车
autonomy 自治
autumn 秋天
avail 有用
available 可获得的；可用的
avalanche 雪崩
avenue 大街；途径
average 平均的；普通的
aviation 航空
avoid 避免；避开
await 等候；期待
awake 醒着的；唤醒
award 奖品；授予
aware 意识到的；知道的
away 离开；远离
awe 敬畏
awful 可怕的；糟糕的
awhile 片刻
awkward 笨拙的；尴尬的
baby 婴儿
back 后面；背部
backbone 脊骨
background 背景
backup 备份
backward 向后的；落后的
bacon 咸肉
bacteria 细菌
bad 坏的；严重的
badge 徽章
badly 坏地；严重地
badminton 羽毛球
baffle 使困惑
bag 袋；包
baggage 行李
bail 保释
bait 诱饵
bake 烘焙；烤
bakery 面包店
balance 平衡；余额
balcony 阳台
bald 秃的
ball 球；舞会
ballet 芭蕾舞
balloon 气球
ballot 选票
bamboo 竹子
ban 禁止；禁令
banana 香蕉
band 乐队；带
bandage 绷带
bang 砰的一声；猛击
bank 银行；岸
bankrupt 破产的
banner 横幅；旗帜
banquet 宴会
bar 条；酒吧；障碍
barbecue 烧烤
barber 理发师
bare 赤裸的；空的
barely 仅仅
bargain 讨价还价；便宜货
bark 吠；树皮
barn 谷仓
baron 男爵
barrel 桶；枪管
barren 贫瘠的
barricade 路障
barrier 栅栏；障碍
base 基础；基地
basic 基本的
basin 盆；盆地
basis 基础；根据
basket 篮；筐
basketball 篮球
bass 低音
bat 蝙蝠；球拍
batch 一批
bath 沐浴；浴缸
bathe 洗澡；游泳
bathroom 浴室
battery 电池
battle 战斗；战役
bay 海湾
be 是；存在
beach 海滩
beacon 灯塔
bead 珠子
beak 鸟嘴
beam 光束；梁
bean 豆
bear 熊；承担；忍受
beard 胡须
bearing 方位
beast 野兽
beat 打；击败
beautiful 美丽的
beauty 美丽；美人
beaver 海狸
because 因为
become 变成；成为
bed 床
bedroom 卧室
bee 蜜蜂
beef 牛肉
beehive 蜂巢
beer 啤酒
beetle 甲虫
before 在……之前
beg 乞求；恳求
begin 开始
beginning 开始；开端
behalf 代表；利益
behave 表现；举止
behavior 行为；举止
behind 在……后面
being 存在；生物
belgium 比利时
belie 掩饰
belief 信念；信仰
believe 相信；认为
bell 钟；铃
belong 属于
belongings 所有物
below 在……下面
belt 腰带；地带
bench 长凳
benchmark 基准
bend 弯曲；弯腰
beneath 在……之下
beneficial 有益的
benefit 利益；受益
berry 浆果
beside 在……旁边
besides 此外；而且
best 最好的
bet 打赌
better 较好的
between 在……之间
beverage 饮料
beware 当心
bewilder 使迷惑
beyond 超过；在那边
bias 偏见
bible 圣经
bibliography 参考书目
bicycle 自行车
bid 出价
big 大的
bike 自行车
bikini 比基尼
bill 账单；钞票
billboard 广告牌
billion 十亿
bin 垃圾箱
binary 二元的
bind 捆绑；结合
biography 传记
biology 生物学
bird 鸟
birth 出生；诞生
birthday 生日
biscuit 饼干
bit 一点；小块
bite 咬；叮
bitter 苦的；痛苦的
bizarre 奇异的
black 黑色的
blackboard 黑板
blade 刀刃
blame 责备；归咎
blank 空白的
blanket 毯子
blast 爆炸；一阵
blaze 火焰；燃烧
bleach 漂白
bleed 流血
blend 混合；掺和
bless 祝福
blind 瞎的；盲目的
blink 眨眼
bliss 极乐
blizzard 暴风雪
block 块；街区；阻塞
blockade 封锁
blond 金发的
blood 血；血液
bloody 血腥的
bloom 开花；青春
blossom 花；开花
blouse 女衬衫
blow 吹；打击
blue 蓝色的；忧郁的
blueprint 蓝图
blunder 错误
blunt 钝的
blur 模糊
board 木板；上(船)
boast 自夸；吹嘘
boat 船；小艇
body 身体；机构
boil 沸腾；煮
bold 大胆的
bolster 支持
bomb 炸弹
bond 纽带；债券
bone 骨头
bonus 奖金
book 书；预订
booklet 小册子
bookmark 书签
boom 繁荣；隆隆声
booming 繁荣的
boost 推动；促进
boot 靴子
border 边界；边缘
bore 钻孔；使厌烦
born 出生的；天生的
borrow 借
boss 老板；上司
both 两者
bother 打扰；麻烦
bottle 瓶子
bottleneck 瓶颈
bottom 底部；根基
bounce 弹起；反弹
bound 被束缚的；界限
boundary 边界；分界线
bouquet 花束
bourgeois 资产阶级的
bout 回合
bow 鞠躬；弓
bowel 肠
bowl 碗
box 盒子；箱子
boxer 拳击手
boy 男孩
boycott 抵制
brace 支撑
brag 吹牛
brain 脑；智力
brake 刹车；制动器
branch 树枝；分支
brand 商标；品牌
brass 黄铜
brave 勇敢的
bravery 勇敢
breach 违反
bread 面包
breadth 宽度；广度
break 打破；中断
breakdown 故障
breakfast 早餐
breakthrough 突破
breast 胸膛；乳房
breath 呼吸；气息
breathe 呼吸
breed 繁殖；饲养
breeze 微风
brew 酿造
bribe 贿赂
brick 砖
bricklayer 砖匠
bride 新娘
bridge 桥；桥梁
brief 简短的；摘要
briefcase 公文包
bright 明亮的；聪明的
brilliant 辉煌的；杰出的
bring 带来；引起
brink 边缘
brisk 轻快的
britain 英国
british 英国的；英国人
brittle 易碎的
broad 宽的；广泛的
broadcast 广播；播音
brochure 小册子
broker 经纪人
bronze 青铜
brood 孵
broom 扫帚
brother 兄弟
brown 棕色的
browse 浏览
browser 浏览器
bruise 淤伤
brunch 早午餐
brunt 冲击
brush 刷子；刷
brute 野兽
bubble 气泡；泡
buck 美元
bucket 桶；水桶
bud 芽；花蕾
budget 预算
buffalo 水牛
buffer 缓冲
buffet 自助餐
bug 臭虫；故障
bugle 军号
build 建造；建立
building 建筑物
bulb 球茎；灯泡
bulk 体积；大部分
bull 公牛
bullet 子弹
bulletin 公告
bump 碰撞；撞击
bumper 保险杠
bunch 束；串
bundle 捆；包
bunk 铺位
burden 负担；重担
bureau 局；办事处
bureaucracy 官僚主义
burger 汉堡包
burglar 窃贼
burial 埋葬
burn 燃烧；烧伤
burner 燃烧器
burst 爆发；突发
bury 埋葬；埋藏
bus 公共汽车
bush 灌木丛
bushel 蒲式耳
business 商业；事务
bust 半身像
busy 忙的
but 但是；除了
butcher 屠夫
butter 黄油
butterfly 蝴蝶
button 纽扣；按钮
buy 买；购买
buzz 嗡嗡声
by 由；经过
bypass 绕过
byproduct 副产品
cabbage 卷心菜
cabin 小屋；船舱
cable 电缆；缆绳
cafe 咖啡馆
cage 笼子
cake 蛋糕
calculate 计算
calendar 日历
call 呼喊；打电话
calm 平静的；镇静
calorie 卡路里
camel 骆驼
camera 照相机
camp 营地；露营
campaign 运动；战役
campus 校园
can 能；罐头
canada 加拿大
canadian 加拿大的
canal 运河；水道
cancel 取消；撤销
cancer 癌症
candidate 候选人
candle 蜡烛
candy 糖果
canvas 帆布
canyon 峡谷
cap 帽子
capable 有能力的
capacity 容量；能力
capital 首都；资本
capsule 胶囊
captain 队长；船长
caption 字幕
capture 捕获；俘获
car 汽车
carbon 碳
carcinogen 致癌物
card 卡片
care 关心；照顾
career 生涯；职业
carefree 无忧无虑的
careful 仔细的
careless 粗心的
cargo 货物
carnival 嘉年华
carpenter 木匠
carpet 地毯
carry 携带；运送
cart 手推车
cartoon 卡通画
carve 雕刻
case 情况；案例
cash 现金
casino 赌场
cassette 盒式录音带
castle 城堡
casual 偶然的；随便的
cat 猫
catalog 目录
catalogue 目录
catastrophe 灾难
catch 抓住；赶上
category 种类；范畴
cathedral 大教堂
cattle 牛
cause 原因；引起
caution 小心；谨慎
cautionary 告诫的
cautious 谨慎的
cave 洞穴
ceiling 天花板
celebrate 庆祝
celebrity 名人
cell 细胞；牢房
cellar 地窖
cellular 细胞的
cement 水泥
censor 审查
census 人口普查
cent 分
centigrade 摄氏的
centimeter 厘米
central 中心的；主要的
centre 中心；中央
century 世纪
ceramic 陶瓷
cereal 谷物
ceremony 仪式；典礼
certain 确定的；某个
certainly 当然；一定
certificate 证书
certify 证明
chain 链条；连锁
chair 椅子
chairman 主席
chalk 粉笔
challenge 挑战
chamber 房间；会议室
champion 冠军
chance 机会；可能性
chancellor 校长
change 改变；零钱
channel 频道；海峡
chant 吟唱
chapel 小教堂
chapter 章；回
character 性格；字符
characteristic 特有的；特征
characterize 描绘特征
charcoal 木炭
charge 收费；充电；指控
chariot 战车
charity 慈善；施舍
charm 魅力；吸引
chart 图表
charter 宪章
chase 追逐；追捕
chat 聊天
chatter 喋喋不休
cheap 便宜的
cheat 欺骗；骗子
check 检查；支票
cheek 面颊
cheer 欢呼；使高兴
cheerful 快乐的
cheese 奶酪
chef 厨师
chemical 化学的
chemist 化学家；药剂师
chemistry 化学
cheque 支票
cherish 珍爱
cherry 樱桃
chess 国际象棋
chest 胸膛；箱子
chew 咀嚼
chicken 鸡；鸡肉
chief 主要的；首领
child 孩子
childhood 童年
chimney 烟囱
china 中国
chinese 中国的；中文
chip 芯片
chips 炸薯条
chiropractor 脊椎按摩师
chivalry 骑士精神
chocolate 巧克力
choice 选择
choir 合唱团
choose 选择
chop 砍；剁
chopsticks 筷子
chore 家务
christian 基督教的
christmas 圣诞节
chronic 慢性的
chuckle 轻笑
chunk 大块
church 教堂
cigar 雪茄
cigarette 香烟
cinder 煤渣
cinema 电影院
circle 圆圈；环绕
circuit 电路；环道
circular 圆形的；循环的
circulate 循环；流通
circumstance 情况；环境
circus 马戏团
citation 引用
cite 引用；引证
citizen 公民；市民
city 城市
civic 市民的
civil 公民的；民用的
civilian 平民的
civilization 文明
claim 声称；索取
clamp 夹子
clan 氏族
clap 鼓掌
clarify 澄清；阐明
clarinet 单簧管
clarity 清晰
clash 冲突
clasp 扣子
class 班级；阶级
classic 经典的
classical 古典的
classify 分类
classmate 同学
classroom 教室
clatter 哗啦声
clay 黏土
clean 清洁的；打扫
cleanse 清洁
clear 清楚的；清除
clearance 清除
cleric 牧师
clerk 店员；办事员
clever 聪明的
click 点击
client 顾客；委托人
cliff 悬崖
climate 气候
climax 高潮；顶点
climb 攀登
clinic 诊所
clinical 临床的
clipboard 剪贴板
clock 钟
clockwise 顺时针的
close 关闭；接近的
closet 壁橱
cloth 布
clothes 衣服
clothing 服装
cloud 云
cloudy 多云的
club 俱乐部
clue 线索
clumsy 笨拙的
cluster 簇
clutch 抓住
coach 教练；长途车
coal 煤
coarse 粗糙的
coast 海岸
coat 外套；涂层
cobra 眼镜蛇
cock 公鸡
cocktail 鸡尾酒
coconut 椰子
code 密码；代码
coffee 咖啡
cogent 有说服力的
cohesive 凝聚的
coin 硬币
coincide 同时发生；一致
cold 冷的；感冒
collar 领子
collateral 抵押品
colleague 同事
collect 收集
collection 收集；收藏品
college 学院；大学
collide 碰撞
colonel 上校
colonial 殖民的
colony 殖民地
color 颜色
colorful 多彩的
colossal 巨大的
column 柱；专栏
comb 梳子；梳理
combat 战斗
combination 结合；组合
combine 结合；联合
come 来；出现
comedy 喜剧
comet 彗星
comfort 舒适；安慰
comfortable 舒适的
comma 逗号
command 命令；指挥
commemorate 纪念
commence 开始
commencement 毕业典礼
commend 表扬
comment 评论；意见
commerce 商业
commercial 商业的
commission 佣金；委员会
commit 犯(罪)；委托
commitment 承诺；保证
committee 委员会
commodity 商品
common 普通的；共同的
commonplace 平凡的
communicate 交流；传达
communication 交流；通讯
community 社区；共同体
commute 通勤
compact 紧凑的
companion 同伴
company 公司；陪伴
comparable 可比较的
compare 比较；比拟
comparison 比较；对照
compartment 隔间
compass 罗盘
compassion 同情
compatible 兼容的
compel 强迫
compensate 补偿
compete 竞争；比赛
competence 能力
competition 竞争；比赛
competitor 竞争者
compile 编辑
complacency 自满
complain 抱怨；控诉
complaint 抱怨；投诉
complete 完整的；完成
complex 复杂的
complicate 使复杂
complicated 复杂的
